depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
300,319,0.03703314387878046,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,0
98,151,0.017701918360471556,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,1
176,198,0.019966478008399187,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,2
139,334,0.05705024612160851,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,3
139,334,0.03030105386536265,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,4
436,808,0.08025900804747937,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,5
178,245,0.03083132522414908,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,6
625,831,0.08656860733024954,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,7
114,323,0.03183051230275967,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,8
123,250,0.12370136663806734,0,0,0,0,sabre_v0_20_depth,fast_layout,1,100,1,1,1,9
