depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
54,201,0.06612086296081543,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,1,1,1
113,374,0.06892108917236328,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,1,1,1
234,836,0.1078941822052002,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,1,1,1
379,1301,0.15898895263671875,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,1,1,1
354,1272,0.17567706108093262,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,1,1,1
533,1829,0.22383880615234375,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,1,1,1
709,2298,0.29348182678222656,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,1,1,1
669,2265,0.2953159809112549,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,1,1,1
721,2650,0.33501482009887695,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,1,1,1
979,3405,0.4241149425506592,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,1,1,1
