depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
265,329,15.783636602727386,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,0
87,155,7.544610511259454,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,1
155,204,8.5097726013344,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,2
123,344,24.31498540407688,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,3
123,344,12.914399718696032,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,4
385,834,34.206629101307165,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,5
157,252,13.140402956641895,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,6
552,857,36.89579917323122,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,7
101,333,13.56625947583326,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,8
109,258,52.72189216953665,0,0,0,0,sabre_v0_20_depth,fast_layout,10,220,1,1,1,9
