depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
255,283,3.3563694859509026,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,0
83,133,1.6043514647948742,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,1
150,175,1.8095919090385268,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,2
118,296,5.170549545437655,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,3
118,296,2.746230050539446,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,4
371,717,7.2739945186667905,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,5
151,217,2.794289340718271,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,6
531,737,7.8458429842085415,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,7
97,286,2.8848471673068645,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,8
105,222,11.21124076620272,0,0,0,0,sabre_v0_20_depth,fast_layout,90,100,1,1,1,9
